key,type,botanical name,common name,qty,size / root,mature H x S (m),spacing,hardiness zone,remarks,source
TA,"tree (deciduous, large)",Tilia americana,American basswood (linden),1,"60 mm caliper, wire basket, spade dug; root ball 70 cm dia x 40 cm deep",18.3 x 12.2,>= 6.1 m to other trees; soil 30 m3,3,shade on the seating node (south-west side),DGSS2026 Table 4-1; size https://jeffriesnurseries.com/american-linden/
GT,"tree (deciduous, medium)",Gleditsia triacanthos 'Harve',Northern Acclaim honeylocust,1,"60 mm caliper, wire basket, spade dug; root ball 70 cm dia x 40 cm deep",12.2 x 10.7,>= 5.3 m to other trees; soil 20 m3,3b,light shade on the seating node,DGSS2026 Table 4-1; size https://jeffriesnurseries.com/northern-acclaim-honeylocust/
AG,"tree (deciduous, small)",Aesculus glabra,Ohio buckeye,1,"60 mm caliper, wire basket, spade dug; root ball 70 cm dia x 40 cm deep",12.2 x 9.1,>= 4.5 m to other trees; soil 10 m3,3,shade along the loop in an open lawn gap,DGSS2026 Table 4-1; size https://jeffriesnurseries.com/ohio-buckeye/
PP,"tree (coniferous, medium)",Pinus ponderosa,ponderosa pine,1,"200 cm height, burlap + wire basket; root ball 80 cm",18.3 x 9.1,>= 4.5 m to other trees; soil 20 m3,3a,winter structure in an open lawn gap,DGSS2026 Table 4-1; size https://jeffriesnurseries.com/ponderosa-pine/
LS,"tree (coniferous, medium)",Larix sibirica,Siberian larch,1,"200 cm height, burlap + wire basket; root ball 80 cm",21.3 x 6.1,>= 3.0 m to other trees; soil 20 m3,2,winter structure / autumn colour in an open lawn gap,DGSS2026 Table 4-1; size https://jeffriesnurseries.com/siberian-larch/
DF,shrub,Dasiphora fruticosa 'Goldfinger',Goldfinger potentilla,13,#2 container (1 gal+ per Calgary Plant Lists preferred form),0.9 x 0.9,0.9 m o.c.; 0.5 m drip line to bed edge,,front of bed,Plant Lists p78 (Dasiphora fruticosa); size https://jeffriesnurseries.com/goldfinger-potentilla/
RA,shrub,Ribes aureum,golden currant,8,#2 container (1 gal+ per Calgary Plant Lists preferred form),1.5 x 1.5,1.5 m o.c.; 0.5 m drip line to bed edge,,middle of bed,Plant Lists p112; size https://jeffriesnurseries.com/golden-currant/
PO,shrub,Physocarpus opulifolius 'Diabolo',Diabolo ninebark,17,#2 container (1 gal+ per Calgary Plant Lists preferred form),1.8 x 1.8,1.8 m o.c.; 0.5 m drip line to bed edge,,back of bed,"Plant Lists p111 (Physocarpus spp., cultivar); size https://jeffriesnurseries.com/diabolo-ninebark/"
CB,rain garden plug,Carex bebbii,Bebb's sedge,356,plug,,0.30 m o.c. (hex),,rain garden base,LID-M2 App. B PDF p108
JB,rain garden plug,Juncus balticus,wire rush,267,plug,,0.30 m o.c. (hex),,rain garden base,LID-M2 App. B PDF p108
DC,rain garden plug,Deschampsia caespitosa,tufted hair grass,366,plug,,0.30 m o.c. (hex),,rain garden base,LID-M2 App. B PDF p108
BG,rain garden plug,Bouteloua gracilis,blue grama,132,plug,,0.30 m o.c. (hex),,rain garden side slopes,LID-M2 App. B PDF p108 (good for slopes)
AF,rain garden plug,Agastache foeniculum,giant hyssop,99,plug,,0.30 m o.c. (hex),,rain garden side slopes,LID-M2 App. B PDF p110
