section,division,item,quantity,unit
1,Site preparation,Tree protection fence 1.2 m (Detail 4),1181.7,m
1,Site preparation,"Tree protection warning signs (1 per 10 m of fence, min 1 per enclosure)",131,ea
1,Site preparation,Ground protection mats under drip lines,90.5,m2
1,Site preparation,Staging area set-up and restoration,135.0,m2
2,Earthworks,Cut (neat),51.6,m3
2,Earthworks,Fill (neat),111.1,m3
2,Earthworks,Net import,59.6,m3
3,Pathways,"Asphalt pathway 2.5 m, 75 mm City Mix B (Detail 1)",1144.9,m2
3,Pathways,"Asphalt (75 mm), volume",85.9,m3
3,Pathways,25 mm crushed gravel base 100 mm incl. shoulders,128.2,m3
3,Pathways,Pathway centreline length,459.3,m
3,Pathways,No-dig construction: geotextile (Detail 2),295.1,m2
3,Pathways,Root-friendly edge restraint (no-dig edges both sides + TPZ edges),218.0,m
3,Pathways,"Culvert under pathway (DGSS Detail 38, size RFI-4)",1,ea
4,Site furniture,Concrete seating pad (Detail 6),28.2,m2
4,Site furniture,Bench 1.8 m with back and armrests,1,ea
4,Site furniture,Waste receptacle (City standard) on 1.5 x 1.5 m concrete pad,1,ea
4,Site furniture,Protect existing memorial benches in place,3,ea
5,Rain garden,Bioretention growing media 450 mm,31.2,m3
5,Rain garden,Plugs 300 mm o.c.,1218,ea
5,Rain garden,Overflow splash pad at outfall (DGSS Detail 46),1,ea
6,Planting,Deciduous trees 60 mm cal. WB,3,ea
6,Planting,Coniferous trees 2.0 m WB,2,ea
6,Planting,Shrubs #2 container,38,ea
6,Planting,Shrub bed topsoil 600 mm,106.4,m3
6,Planting,Shredded wood mulch 75 mm (beds + 1.0 m tree wells),13.6,m3
7,Turf restoration,Topsoil 125 mm + sod on disturbed turf,1247.9,m2
7,Turf restoration,"Topsoil 125 mm, volume",156.0,m3
